round,ticker,daily,m1,m5,error
0,PICO.JK,skip(empty),(ok),(ok),
0,MITI.JK,skip(empty),(ok),(ok),
0,MFIN.JK,skip(empty),(ok),(ok),
0,SONA.JK,skip(empty),(ok),(ok),
0,TFAS.JK,skip(empty),(ok),(ok),
0,WINE.JK,skip(empty),(ok),(ok),
0,GOOD.JK,skip(empty),(ok),(ok),
0,KBLI.JK,skip(empty),(ok),(ok),
0,BBSS.JK,skip(empty),(ok),(ok),
0,KSIX.JK,skip(empty),(ok),(ok),
0,INPS.JK,skip(empty),(ok),(ok),
0,TNCA.JK,skip(empty),(ok),(ok),
0,PJAA.JK,skip(empty),(ok),(ok),
0,OBMD.JK,skip(empty),(ok),(ok),
0,AMFG.JK,skip(empty),(ok),(ok),
0,SKRN.JK,skip(empty),(ok),(ok),
0,FMII.JK,skip(empty),(ok),(ok),
0,EAST.JK,skip(empty),(ok),(ok),
0,BTPN.JK,skip(empty),(ok),(ok),
0,MKAP.JK,skip(empty),(ok),(ok),
0,ATIC.JK,skip(empty),(ok),(ok),
0,PTIS.JK,skip(empty),(ok),(ok),
0,MBTO.JK,skip(empty),(ok),(ok),
0,JMAS.JK,skip(empty),(ok),(ok),
0,GEMA.JK,skip(empty),(ok),(ok),
0,SCCO.JK,skip(empty),(ok),(ok),
0,MYOH.JK,skip(empty),(ok),(ok),
0,LAPD.JK,skip(empty),(ok),(ok),
0,HBAT.JK,skip(empty),(ok),(ok),
0,BBRM.JK,skip(empty),(ok),(ok),
0,TRIN.JK,skip(empty),(ok),(ok),
0,WOWS.JK,skip(empty),(ok),(ok),
0,BEER.JK,skip(empty),(ok),(ok),
0,GMFI.JK,skip(empty),(ok),(ok),
0,BALI.JK,skip(empty),(ok),(ok),
0,BPTR.JK,skip(empty),(ok),(ok),
0,JECC.JK,skip(empty),(ok),(ok),
0,TRIM.JK,skip(empty),(ok),(ok),
0,LPGI.JK,skip(empty),(ok),(ok),
0,FLMC.JK,skip(empty),(ok),(ok),
0,DNET.JK,skip(empty),(ok),(ok),
0,LPLI.JK,skip(empty),(ok),(ok),
0,SPMA.JK,skip(empty),(ok),(ok),
0,LPIN.JK,skip(empty),(ok),(ok),
0,MERK.JK,skip(empty),(ok),(ok),
0,VICO.JK,skip(empty),(ok),(ok),
0,OILS.JK,skip(empty),(ok),(ok),
0,SDRA.JK,skip(empty),(ok),(ok),
0,GTBO.JK,skip(empty),(ok),(ok),
0,CSAP.JK,skip(empty),(ok),(ok),
0,DAYA.JK,skip(empty),(ok),(ok),
0,RMKO.JK,skip(empty),(ok),(ok),
0,CRSN.JK,skip(empty),(ok),(ok),
0,KBLM.JK,skip(empty),(ok),(ok),
0,INDS.JK,skip(empty),(ok),(ok),
0,SEMA.JK,skip(empty),(ok),(ok),
0,IKPM.JK,skip(empty),(ok),(ok),
0,DMND.JK,skip(empty),(ok),(ok),
