round,ticker,daily,m1,m5,m15,error
0,LPKR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NOBU.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BDMN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SMSM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,PRDA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,ELIT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HUMI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HAJJ.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,POWR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,?,,,,,worker-timeout>22s
0,DILD.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CPRO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BUVA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,GEMS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,?,,,,,worker-timeout>22s
0,HAIS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PART.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MDLA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,KKGI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BCIP.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DMMX.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NSSS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,TOTL.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,VKTR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HGII.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,KLAS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,WIIM.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MPPA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,FUTR.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,RSCH.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,WOOD.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,JATI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BNLI.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,NEST.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,DKHH.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SATU.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,GZCO.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,BHAT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,MMIX.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,HEXA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,CENT.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,WINS.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,IKAN.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,SRAJ.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
0,PIPA.JK,skip(empty),skip(empty),skip(empty),skip(15m-not-needed),
