ticker,gran,price,prob_ara_tomorrow,prob_ara_tomorrow_adj,ara_target_pct,day_roc,prox,rvol60,cr,obv_up,virgin_hint,regime_score
CITY.JK,1m,110.0,60.2,60.2,35.0,-0.0265,0.0,0.64,1.0,True,False,0.5
SGER.JK,1m,334.0,60.1,60.1,25.0,-0.0118,0.0,0.63,1.0,True,False,0.5
BYAN.JK,1m,18300.0,59.9,59.9,20.0,0.0,0.0,3.38,1.0,False,False,0.5
DAAZ.JK,1m,3410.0,59.9,59.9,25.0,-0.0201,0.0,3.95,1.0,False,False,0.5
MEGA.JK,1m,3290.0,59.9,59.9,25.0,-0.015,0.0,5.7,1.0,False,False,0.5
SGRO.JK,1m,2960.0,59.9,59.9,25.0,-0.01,0.0,6.16,1.0,False,False,0.5
TCID.JK,1m,2450.0,59.9,59.9,25.0,-0.02,0.0,6.57,1.0,False,False,0.5
ISAT.JK,1m,2260.0,59.9,59.9,25.0,-0.0259,0.0,3.8,1.0,False,False,0.5
DLTA.JK,1m,1990.0,59.9,59.9,25.0,-0.0149,0.0,5.65,1.0,False,False,0.5
ASSA.JK,1m,905.0,59.9,59.9,25.0,-0.0573,0.0,3.84,1.0,False,False,0.5
BUKK.JK,1m,825.0,59.9,59.9,25.0,0.0,0.0,3.74,1.0,False,False,0.5
BNBA.JK,1m,805.0,59.9,59.9,25.0,-0.0417,0.0,3.47,1.0,False,False,0.5
CSRA.JK,1m,720.0,59.9,59.9,25.0,-0.027,0.0,0.6,1.0,True,False,0.5
AMOR.JK,1m,505.0,59.9,59.9,25.0,0.0,0.0,9.83,1.0,False,False,0.5
MICE.JK,1m,496.0,59.9,59.9,25.0,-0.0178,0.0,5.07,1.0,False,False,0.5
MSIN.JK,1m,488.0,59.9,59.9,25.0,-0.0041,0.0,0.6,1.0,True,False,0.5
IRRA.JK,1m,428.0,59.9,59.9,25.0,-0.0093,0.0,3.36,1.0,False,False,0.5
HERO.JK,1m,406.0,59.9,59.9,25.0,-0.0098,0.0,5.49,1.0,False,False,0.5
PSSI.JK,1m,346.0,59.9,59.9,25.0,0.0,0.0,5.21,1.0,False,False,0.5
BLUE.JK,1m,312.0,59.9,59.9,25.0,-0.0064,0.0,25.14,1.0,False,False,0.5
ARII.JK,1m,262.0,59.9,59.9,25.0,-0.0076,0.0,5.42,1.0,False,False,0.5
MAYA.JK,1m,191.0,59.9,59.9,35.0,-0.0104,0.0,3.24,1.0,False,False,0.5
UFOE.JK,1m,171.0,59.9,59.9,35.0,-0.0058,0.0,10.58,1.0,False,False,0.5
SMLE.JK,1m,147.0,59.9,59.9,35.0,0.0,0.0,3.64,1.0,False,False,0.5
TRJA.JK,1m,141.0,59.9,59.9,35.0,-0.0276,0.0,3.47,1.0,False,False,0.5
URBN.JK,1m,129.0,59.9,59.9,35.0,-0.0227,0.0,4.31,1.0,False,False,0.5
TYRE.JK,1m,127.0,59.9,59.9,35.0,0.0,0.0,4.33,1.0,False,False,0.5
DNAR.JK,1m,120.0,59.9,59.9,35.0,-0.0244,0.0,5.8,1.0,False,False,0.5
BWPT.JK,1m,118.0,59.9,59.9,35.0,-0.0084,0.0,3.19,1.0,False,False,0.5
PPRE.JK,1m,118.0,59.9,59.9,35.0,-0.1061,0.0,12.56,1.0,False,False,0.5
PPGL.JK,1m,108.0,59.9,59.9,35.0,-0.0092,0.0,3.35,1.0,False,False,0.5
PIPA.JK,1m,87.0,59.9,59.9,35.0,-0.13,0.0,3.95,1.0,False,False,0.5
PNBS.JK,1m,50.0,59.9,59.9,35.0,0.0,0.0,92.51,1.0,False,False,0.5
JARR.JK,1m,700.0,59.8,59.8,25.0,-0.0141,0.0,0.59,1.0,True,False,0.5
