ticker,status,file,rows_before,rows_after,min_dt,max_dt,na_total,expected_per_day,last_day_coverage_pct,has_last_day
BJBR.JK,OK,emiten/cache_1m/BJBR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,9264,411,55.23,True
BJTM.JK,OK,emiten/cache_1m/BJTM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8352,411,66.91,True
BKSL.JK,OK,emiten/cache_1m/BKSL.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6258,411,77.37,True
BKSW.JK,OK,emiten/cache_1m/BKSW.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13146,411,34.55,True
BLES.JK,OK,emiten/cache_1m/BLES.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,12510,411,43.31,True
BLOG.JK,OK,emiten/cache_1m/BLOG.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,7998,411,58.88,True
BLTZ.JK,OK,emiten/cache_1m/BLTZ.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,17124,411,4.62,True
BLUE.JK,OK,emiten/cache_1m/BLUE.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16278,411,6.33,True
BMAS.JK,OK,emiten/cache_1m/BMAS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16482,411,29.68,True
BMHS.JK,OK,emiten/cache_1m/BMHS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13446,411,16.79,True
BMRI.JK,OK,emiten/cache_1m/BMRI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6114,411,77.62,True
BMSR.JK,OK,emiten/cache_1m/BMSR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16524,411,11.68,True
BMTR.JK,OK,emiten/cache_1m/BMTR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8646,411,57.66,True
BNBA.JK,OK,emiten/cache_1m/BNBA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,14988,411,8.76,True
BNGA.JK,OK,emiten/cache_1m/BNGA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,8604,411,60.58,True
BNII.JK,OK,emiten/cache_1m/BNII.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,13770,411,27.25,True
BNLI.JK,OK,emiten/cache_1m/BNLI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15750,411,12.41,True
BOAT.JK,OK,emiten/cache_1m/BOAT.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,10818,411,39.42,True
BOBA.JK,OK,emiten/cache_1m/BOBA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15606,411,15.82,True
BOGA.JK,OK,emiten/cache_1m/BOGA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16224,411,3.65,True
BOLA.JK,OK,emiten/cache_1m/BOLA.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,14538,411,18.25,True
BOLT.JK,OK,emiten/cache_1m/BOLT.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16686,411,5.11,True
BPFI.JK,OK,emiten/cache_1m/BPFI.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16680,411,3.65,True
BPII.JK,OK,emiten/cache_1m/BPII.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16962,411,2.92,True
BPTR.JK,OK,emiten/cache_1m/BPTR.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,15378,411,19.46,True
BRAM.JK,OK,emiten/cache_1m/BRAM.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,16716,411,8.03,True
BREN.JK,OK,emiten/cache_1m/BREN.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6120,411,77.62,True
BRIS.JK,OK,emiten/cache_1m/BRIS.JK.csv,2877,2877,2025-08-11 09:00:00+07:00,2025-08-19 15:50:00+07:00,6258,411,77.37,True
